the,wicked,and,of,to,in,gladiator,is,for,on
0.10692696049153143,0.0,0.04994780988653791,0.05144665733195272,0.09989561977307582,0.052593430372432214,0.0,0.12560432928348816,0.06493509090140308,0.0
0.040966321899676424,0.0,0.0,0.0,0.0,0.06044947098115401,0.23297457581939016,0.0,0.0,0.0
0.1333075866248165,0.0,0.0,0.09620908090873452,0.0,0.0,0.0,0.17616708798810174,0.06071672814463876,0.05927841481332603
0.06826036341287929,0.0550894111238612,0.04782875580012176,0.049264014094954484,0.09565751160024352,0.0,0.0,0.1202755197151737,0.06218019594126371,0.0
0.21081726483466529,0.0,0.0492385672255022,0.10143226304901408,0.0492385672255022,0.0,0.0,0.12382078864494983,0.0,0.06249663449313734
0.06778198245171413,0.10940666915254908,0.0,0.0,0.09498712647402902,0.15002756378620657,0.0,0.059716303569858326,0.18523327767720288,0.0
0.0,0.0,0.038764910223152434,0.03992817817807765,0.0,0.0,0.10487659937591233,0.0487412817436267,0.0,0.0
0.0355739016361956,0.0,0.0,0.05134790100714296,0.04985193072951389,0.0,0.0,0.0,0.0,0.06327515338354475
0.10394081458442135,0.05592350602799783,0.048552918949994264,0.10001981625863707,0.048552918949994264,0.0,0.0,0.0,0.0,0.0
0.06550379477220131,0.05286472705326921,0.0,0.04727457791884342,0.09179455975617569,0.048328353115695825,0.0,0.0,0.11933832725722951,0.0
0.03696590637812148,0.059666544747585266,0.051802633935457344,0.0,0.0,0.054546500180529034,0.0,0.06513433827590978,0.0,0.0
0.11095311683078275,0.11939270098507415,0.0,0.0,0.05182851135305282,0.10914749653070464,0.0,0.06516687539503524,0.06738011343520316,0.0
0.02659441758077685,0.0,0.07453683751571973,0.0,0.03726841875785986,0.0,0.10082791372253438,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0763357706044217,0.0,0.0,0.11018419155664488,0.10697408418321205,0.0,0.0,0.06725223851190906,0.0,0.0
0.0,0.0,0.0,0.056193327085374695,0.0,0.0,0.0,0.0,0.0,0.0
0.10896966633318413,0.17588757072237043,0.0,0.10485896274709038,0.05090200032236415,0.1607944862359215,0.0,0.0,0.06617559459572674,0.06460796664832087
0.0,0.0,0.10025097518415632,0.05162966683833992,0.05012548759207816,0.0,0.0,0.0,0.0,0.0
